Conversation No.,Relevance,Accuracy,Interactivity,Context Awareness,Weighted Average
1,5,5,5,5,5
2,4,4,4,3,3.8
3,5,5,5,5,5
4,3,3,4,3,3.2
5,5,4,5,4,4.5
6,4,4,4,4,4
7,4,4,4,3,3.8
8,5,5,5,5,5
9,3,3,4,3,3.2
10,5,5,5,4,4.8
11,5,5,5,5,5
12,4,4,4,4,4
13,5,5,5,5,5
14,3,3,3,3,3
15,5,5,5,5,5
16,4,4,4,4,4
17,3,3,3,3,3
18,5,5,5,5,5
19,4,4,4,4,4
20,5,5,5,5,5
21,5,5,5,5,5
22,4,4,4,4,4
23,5,5,5,5,5
24,3,3,4,3,3.2
25,5,5,5,4,4.8
26,4,4,4,4,4
27,4,4,4,3,3.8
28,5,5,5,5,5
29,3,3,4,3,3.2
30,5,5,5,4,4.8
31,5,5,5,5,5
32,4,4,4,4,4
33,5,5,5,5,5
34,3,3,3,3,3
35,5,5,5,5,5
36,4,4,4,4,4
37,3,3,3,3,3
38,5,5,5,5,5
39,4,4,4,4,4
40,5,5,5,5,5
41,5,5,5,5,5
42,4,4,4,4,4
43,5,5,5,5,5
44,3,3,4,3,3.2
45,5,5,5,4,4.8
46,4,4,4,4,4
47,4,4,4,3,3.8
48,5,5,5,5,5
49,3,3,4,3,3.2
50,5,5,5,4,4.8
